generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
130,0.25,5.0,0.9230769230769231,17.72293892396417,0.0,True
135,0.25,5.0,0.9185185185185185,17.938234219498312,0.0,True
140,0.25,5.0,0.9214285714285714,18.346921371432426,0.0,True
145,0.25,5.0,0.9172413793103448,18.555229767484366,0.0,True
150,0.25,5.0,0.92,18.950461735799472,0.0,True
155,0.25,5.0,0.9161290322580645,19.15241639489495,0.0,True
160,0.25,5.0,0.91875,19.535437884350923,0.0,True
165,0.25,5.0,0.9151515151515152,19.731582641424218,0.0,True
170,0.25,5.0,0.9176470588235294,20.103457901760166,0.0,True
175,0.25,5.0,0.92,20.468838104136086,0.0,True
180,0.25,5.0,0.9166666666666666,20.65591117977289,0.0,True
185,0.25,5.0,0.918918918918919,21.01157981891144,0.0,True
190,0.25,5.0,0.9157894736842105,21.194007759559792,0.0,True
195,0.25,5.0,0.9179487179487179,21.540698906992535,0.0,True
200,0.25,5.0,0.915,21.718809052677514,0.0,True
205,0.25,5.0,0.9170731707317074,22.05716888421975,0.0,True
210,0.25,5.0,0.9142857142857143,22.231252133619723,0.0,True
5,0.25,5.0,0.8,2.840187787218772,0.0022543491824520423,False
10,0.25,5.0,0.8,4.016632088371218,2.951789024796536e-05,True
15,0.25,5.0,0.8666666666666667,5.515634344499481,1.7376207472885596e-08,True
20,0.25,5.0,0.9,6.713171133426189,9.521938793000118e-12,True
25,0.25,5.0,0.92,7.736493607140985,5.10702591327572e-15,True
30,0.25,5.0,0.9333333333333333,8.64355893779357,0.0,True
35,0.25,5.0,0.9142857142857143,9.075870678421358,0.0,True
40,0.25,5.0,0.875,9.128709291752768,0.0,True
45,0.25,5.0,0.8444444444444444,9.209093734315413,0.0,True
50,0.25,5.0,0.86,9.961258287318257,0.0,True
55,0.25,5.0,0.8363636363636363,10.042636379683646,0.0,True
60,0.25,5.0,0.85,10.73312629199899,0.0,True
65,0.25,5.0,0.8615384615384616,11.386226497226984,0.0,True
70,0.25,5.0,0.8714285714285714,12.007140732556964,0.0,True
75,0.25,5.0,0.88,12.6,0.0,True
80,0.25,5.0,0.8875,13.168143377105217,0.0,True
85,0.25,5.0,0.8823529411764706,13.463822258330714,0.0,True
90,0.25,5.0,0.8666666666666667,13.510489751794099,0.0,True
